3685.1784483,3548.29803321,78.3
3679.04033076,3557.09151187,72.8
3678.60018109,3557.27807742,81.9
3684.18338545,3553.5805945,57.0
3681.76726099,3553.15257845,74.8
3679.14389046,3552.2483941,66.1
3681.03828171,3550.90542629,71.2
3680.60520806,3555.70324682,49.5
3679.58984634,3546.86453536,92.1
3678.14044722,3549.92294833,54.1
3678.2014818,3544.63736876,69.2
3677.75284616,3550.85057711,38.8
3676.06804077,3548.54504588,54.1
3678.27920638,3547.7891814,39.5
3696.24658946,3544.10960405,122.9
3674.27533563,3555.82654776,55.4
3678.42266509,3547.6016571,60.3
3688.1673894,3551.69147428,107.4
3675.19594605,3563.382212,66.4
3685.53202903,3571.4990923,145.5
3674.9388711,3581.72678661,112.3
3655.97850813,3569.64535643,63.1
3666.81240796,3552.92732457,90.4
3687.10878866,3563.03367496,111.8
3672.7215971,3584.37356819,103.0
3689.4264246,3638.13679787,111.6
3659.67866179,3635.19873017,98.3
3690.51605407,3647.79405086,107.0
3713.88321797,3717.53569046,117.8
3706.76099652,3721.4272377,116.3
3712.67831188,3726.54415701,113.3
3709.03609679,3724.68567758,109.2
3709.69622957,3724.43347506,104.2
3707.22054785,3722.03691949,102.0
3711.2511147,3722.73555235,106.6
3691.96976726,3741.99174561,94.0
3682.93117276,3750.63208997,100.7
3666.95912032,3779.56377813,93.1
3662.89774662,3815.60009539,82.1
3671.53880458,3844.9541359,72.9
3668.27629983,3844.61184757,74.3
3671.69157097,3845.28637303,75.6
3669.57258243,3844.72661846,72.5
3672.52497943,3845.81985617,72.0
3671.77672665,3846.13812289,72.9
3677.16191649,3849.29603322,66.8
3672.85230584,3853.34043031,67.2
3680.98556876,3846.0130754,67.2
3677.57290166,3851.33205431,83.7
3679.87165797,3847.27009954,65.2
3678.83293577,3845.66331569,79.0
3671.86532923,3849.32314551,95.3
3676.56547013,3843.44436399,75.8
3679.07922169,3844.25973154,68.6
3676.3237543,3850.23326351,52.2
3675.8892398,3845.2778248,77.5
3680.52420153,3839.16661259,56.0
3675.81864196,3850.12104969,71.8
3679.42928016,3844.74742001,64.2
3677.65943601,3848.35770185,70.5
3678.41081912,3843.67149106,66.7
3685.03461784,3844.38956333,61.8
3676.85222233,3846.51944603,72.5
3676.82745741,3847.38189873,69.5
3678.27992249,3843.37249893,56.2
3671.11725522,3849.58612225,71.1
3678.98152006,3847.28933847,70.1
3678.69812794,3843.17480471,70.1
3676.81584601,3844.17500869,71.0
3674.3431019,3840.87169864,75.4
3574.32770757,3768.5713224,100.4
3564.08108615,3766.79105122,95.0
3548.1867903,3771.6716437,94.0
3498.73805775,3819.33831801,99.1
3497.19409846,3824.46429549,97.8
3494.29631777,3823.47077095,97.5
3493.88509986,3828.31289386,95.1
3486.40095423,3825.19246883,96.8
3489.53092454,3822.33852155,97.1
